perf_enumeration.py 2025-12-16 08:08:45.226 | INFO     | perf_enumeration:test_perf_k4_varying_B:10 - K=4 B=200
2025-12-16 08:08:45.890 | INFO     | perf_enumeration:test_perf_k4_varying_B:14 - {'combination_count': 10626, 'elapsed_s': 0.6621079444885254, 'combinations_per_sec': 16048.74263849609, 'lg2_combinations_per_sec': 13.970172651335394}
2025-12-16 08:08:45.890 | INFO     | perf_enumeration:test_perf_k4_varying_B:10 - K=4 B=300
2025-12-16 08:08:48.095 | INFO     | perf_enumeration:test_perf_k4_varying_B:14 - {'combination_count': 35960, 'elapsed_s': 2.20255970954895, 'combinations_per_sec': 16326.458639963066, 'lg2_combinations_per_sec': 13.994924270471772}
2025-12-16 08:08:48.095 | INFO     | perf_enumeration:test_perf_k4_varying_B:10 - K=4 B=400
2025-12-16 08:08:53.723 | INFO     | perf_enumeration:test_perf_k4_varying_B:14 - {'combination_count': 91390, 'elapsed_s': 5.6199119091033936, 'combinations_per_sec': 16261.820732805838, 'lg2_combinations_per_sec': 13.989201175408475}
2025-12-16 08:08:53.723 | INFO     | perf_enumeration:test_perf_k4_varying_B:10 - K=4 B=500
2025-12-16 08:09:04.765 | INFO     | perf_enumeration:test_perf_k4_varying_B:14 - {'combination_count': 178365, 'elapsed_s': 10.96483039855957, 'combinations_per_sec': 16267.009476355555, 'lg2_combinations_per_sec': 13.989661430179579}
.2025-12-16 08:09:04.766 | INFO     | perf_enumeration:test_perf_B200_varying_k:21 - K=3 B=200
2025-12-16 08:09:04.869 | INFO     | perf_enumeration:test_perf_B200_varying_k:26 - {'combination_count': 1771, 'elapsed_s': 0.10209250450134277, 'combinations_per_sec': 17347.012972697783, 'lg2_combinations_per_sec': 14.082399642325585}
2025-12-16 08:09:04.869 | INFO     | perf_enumeration:test_perf_B200_varying_k:21 - K=4 B=200
2025-12-16 08:09:05.524 | INFO     | perf_enumeration:test_perf_B200_varying_k:26 - {'combination_count': 10626, 'elapsed_s': 0.6547715663909912, 'combinations_per_sec': 16228.560532292227, 'lg2_combinations_per_sec': 13.986247418559016}
2025-12-16 08:09:05.524 | INFO     | perf_enumeration:test_perf_B200_varying_k:21 - K=5 B=200
2025-12-16 08:09:10.255 | INFO     | perf_enumeration:test_perf_B200_varying_k:26 - {'combination_count': 53130, 'elapsed_s': 4.727250814437866, 'combinations_per_sec': 11239.090559301721, 'lg2_combinations_per_sec': 13.45623768035137}
